review_text,rating,date,upvotes
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-10-23,68
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-04-08,76
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-02-27,24
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-04-11,83
Banyak promo menarik setiap hari.,4,2023-02-22,97
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-01-09,6
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-10-23,65
Layanan pelanggan sangat responsif dan membantu.,4,2023-06-15,35
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-04-28,70
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-07-03,46
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-09-02,54
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-12-14,53
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-10-24,16
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-05-08,87
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-09-26,25
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-07-02,27
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-11-08,66
Layanan pelanggan sangat responsif dan membantu.,5,2023-04-04,43
"UI sangat membingungkan, sulit digunakan.",2,2023-04-02,31
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-05-03,40
Banyak bug yang mengganggu pengalaman belanja.,2,2023-08-19,41
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-06-01,26
Banyak bug yang mengganggu pengalaman belanja.,2,2023-02-12,12
"UI sangat membingungkan, sulit digunakan.",2,2023-01-26,90
Banyak promo menarik setiap hari.,5,2023-01-07,21
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-06-27,23
"UI sangat membingungkan, sulit digunakan.",1,2023-01-21,84
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-07-23,29
Banyak promo menarik setiap hari.,4,2023-05-27,85
Banyak promo menarik setiap hari.,5,2023-04-11,38
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-02-20,43
"UI sangat membingungkan, sulit digunakan.",2,2023-12-16,5
Aplikasi sangat bagus dan mudah digunakan!,5,2023-07-12,19
"UI sangat membingungkan, sulit digunakan.",2,2023-07-21,85
"UI sangat membingungkan, sulit digunakan.",2,2023-12-07,15
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-05-01,85
Banyak promo menarik setiap hari.,4,2023-08-05,59
Layanan pelanggan sangat responsif dan membantu.,5,2023-10-25,33
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-06-23,68
Layanan pelanggan sangat responsif dan membantu.,5,2023-03-23,5
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-06-15,85
Layanan pelanggan sangat responsif dan membantu.,4,2023-09-18,96
"UI sangat membingungkan, sulit digunakan.",1,2023-07-03,16
Layanan pelanggan sangat responsif dan membantu.,5,2023-04-01,42
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-09-08,77
Aplikasi sangat bagus dan mudah digunakan!,4,2023-07-11,34
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-04-07,6
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-05-13,10
Banyak promo menarik setiap hari.,5,2023-02-22,89
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-07-27,81
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-11-06,66
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-10-01,95
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-09-07,36
Banyak bug yang mengganggu pengalaman belanja.,1,2023-12-04,41
"Aplikasi sering crash, sangat frustasi!",2,2023-08-08,56
Banyak bug yang mengganggu pengalaman belanja.,1,2023-02-01,32
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-01-26,36
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-10-21,38
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-09-21,8
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-05-28,30
Layanan pelanggan sangat responsif dan membantu.,5,2023-12-24,13
"UI sangat membingungkan, sulit digunakan.",2,2023-04-01,5
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-05-22,63
Aplikasi sangat bagus dan mudah digunakan!,5,2023-11-25,76
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-09-06,11
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-03-22,58
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-06-03,64
Aplikasi sangat bagus dan mudah digunakan!,5,2023-03-13,25
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-05-09,24
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-03-11,34
"UI sangat membingungkan, sulit digunakan.",2,2023-01-26,61
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-06-27,37
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-05-26,72
Banyak promo menarik setiap hari.,4,2023-08-12,50
"Aplikasi sering crash, sangat frustasi!",2,2023-09-03,27
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-05-04,35
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-02-27,55
"Aplikasi sering crash, sangat frustasi!",1,2023-03-20,39
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-06-02,13
Layanan pelanggan sangat responsif dan membantu.,4,2023-03-19,65
"Aplikasi sering crash, sangat frustasi!",2,2023-07-13,15
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-06-07,93
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-05-24,87
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-10-17,23
Banyak bug yang mengganggu pengalaman belanja.,2,2023-10-21,68
Aplikasi sangat bagus dan mudah digunakan!,5,2023-11-22,42
"Aplikasi sering crash, sangat frustasi!",1,2023-07-01,77
Layanan pelanggan sangat responsif dan membantu.,5,2023-05-22,63
Banyak bug yang mengganggu pengalaman belanja.,1,2023-12-12,16
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-03-07,95
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-02-20,95
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-02-21,7
"Aplikasi sering crash, sangat frustasi!",1,2023-06-03,54
Banyak bug yang mengganggu pengalaman belanja.,1,2023-01-21,8
Layanan pelanggan sangat responsif dan membantu.,5,2023-04-20,53
Banyak bug yang mengganggu pengalaman belanja.,1,2023-06-20,45
Banyak promo menarik setiap hari.,4,2023-09-26,91
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-10-25,21
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-07-03,75
"Aplikasi sering crash, sangat frustasi!",2,2023-11-24,54
"UI sangat membingungkan, sulit digunakan.",1,2023-04-16,81
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-05-28,23
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-03-23,58
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-02-26,9
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-06-17,78
Banyak bug yang mengganggu pengalaman belanja.,1,2023-04-07,89
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-05-06,23
Aplikasi sangat bagus dan mudah digunakan!,4,2023-08-28,49
"Aplikasi sering crash, sangat frustasi!",1,2023-03-16,100
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-12-21,5
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-01-26,3
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-08-15,61
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-12-15,12
Banyak promo menarik setiap hari.,4,2023-10-19,52
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-12-13,94
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-08-11,9
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-04-03,0
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-08-22,63
Banyak bug yang mengganggu pengalaman belanja.,1,2023-04-27,78
Banyak bug yang mengganggu pengalaman belanja.,2,2023-06-02,83
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-01-17,78
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-02-25,81
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-06-16,13
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-07-26,68
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-08-18,73
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-11-16,62
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-11-10,62
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-02-11,22
Banyak bug yang mengganggu pengalaman belanja.,1,2023-05-15,69
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-06-24,79
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-01-05,51
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-07-04,100
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-01-28,72
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-12-14,22
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-11-25,18
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-10-08,89
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-06-16,9
Banyak promo menarik setiap hari.,5,2023-09-02,18
Banyak bug yang mengganggu pengalaman belanja.,2,2023-06-27,75
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-04-11,21
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-03-06,54
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-05-25,2
Banyak promo menarik setiap hari.,5,2023-05-11,74
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-10-26,52
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-06-08,78
Layanan pelanggan sangat responsif dan membantu.,5,2023-11-09,57
Banyak bug yang mengganggu pengalaman belanja.,2,2023-08-03,16
"UI sangat membingungkan, sulit digunakan.",1,2023-03-14,52
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-12-08,49
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-04-16,66
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-07-07,52
Banyak bug yang mengganggu pengalaman belanja.,2,2023-09-01,3
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-08-05,42
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-07-02,26
Banyak promo menarik setiap hari.,5,2023-10-18,99
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-09-20,81
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-04-15,41
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-05-18,90
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-05-13,42
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-05-13,23
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-09-09,44
Aplikasi sangat bagus dan mudah digunakan!,5,2023-09-10,4
Aplikasi sangat bagus dan mudah digunakan!,4,2023-07-06,22
"UI sangat membingungkan, sulit digunakan.",1,2023-08-25,44
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-11-04,28
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-04-07,82
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-04-17,84
"Aplikasi sering crash, sangat frustasi!",2,2023-01-18,93
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-07-22,47
Banyak bug yang mengganggu pengalaman belanja.,2,2023-09-27,32
Banyak bug yang mengganggu pengalaman belanja.,2,2023-04-23,83
Layanan pelanggan sangat responsif dan membantu.,4,2023-10-02,72
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-08-05,82
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-11-10,15
Layanan pelanggan sangat responsif dan membantu.,4,2023-03-20,40
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-03-21,13
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-08-10,25
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-05-22,36
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-11-07,83
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-05-07,36
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-11-24,52
"UI sangat membingungkan, sulit digunakan.",2,2023-01-17,74
Layanan pelanggan sangat responsif dan membantu.,5,2023-03-18,89
Banyak bug yang mengganggu pengalaman belanja.,1,2023-05-18,7
Banyak promo menarik setiap hari.,5,2023-02-24,75
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-07-23,45
Banyak bug yang mengganggu pengalaman belanja.,2,2023-09-17,71
Banyak bug yang mengganggu pengalaman belanja.,2,2023-05-08,24
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-08-04,42
"UI sangat membingungkan, sulit digunakan.",1,2023-02-06,24
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-09-26,48
Banyak promo menarik setiap hari.,4,2023-04-21,94
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-05-18,76
Banyak bug yang mengganggu pengalaman belanja.,2,2023-10-13,31
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-08-16,100
Banyak bug yang mengganggu pengalaman belanja.,2,2023-04-26,81
"UI sangat membingungkan, sulit digunakan.",2,2023-02-10,25
"Aplikasi sering crash, sangat frustasi!",2,2023-01-04,40
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-11-09,19
Banyak promo menarik setiap hari.,5,2023-02-22,58
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-07-13,15
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-03-07,17
"UI sangat membingungkan, sulit digunakan.",1,2023-12-05,4
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-04-12,40
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-11-12,91
Layanan pelanggan sangat responsif dan membantu.,4,2023-12-12,95
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-07-15,12
Layanan pelanggan sangat responsif dan membantu.,5,2023-03-24,26
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-08-08,40
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-12-18,18
Banyak bug yang mengganggu pengalaman belanja.,1,2023-08-01,35
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-09-28,43
Layanan pelanggan sangat responsif dan membantu.,5,2023-10-02,16
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-04-13,1
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-07-23,71
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-03-12,72
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-02-15,46
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-01-08,56
Banyak promo menarik setiap hari.,5,2023-07-14,77
"UI sangat membingungkan, sulit digunakan.",2,2023-03-07,50
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-08-10,98
"UI sangat membingungkan, sulit digunakan.",2,2023-06-23,83
Banyak promo menarik setiap hari.,5,2023-12-06,17
Layanan pelanggan sangat responsif dan membantu.,4,2023-06-24,24
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-03-22,83
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-08-03,64
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-11-15,7
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-05-23,46
Layanan pelanggan sangat responsif dan membantu.,5,2023-01-28,61
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-12-10,48
Banyak bug yang mengganggu pengalaman belanja.,1,2023-04-01,43
"UI sangat membingungkan, sulit digunakan.",1,2023-03-28,28
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-03-13,41
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-06-26,78
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-11-15,27
"UI sangat membingungkan, sulit digunakan.",2,2023-10-05,42
Banyak bug yang mengganggu pengalaman belanja.,2,2023-10-16,31
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-12-18,33
Banyak promo menarik setiap hari.,5,2023-08-16,30
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-09-02,58
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-03-06,71
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-02-13,64
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-08-25,83
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-06-01,77
Banyak bug yang mengganggu pengalaman belanja.,1,2023-05-08,26
"Aplikasi sering crash, sangat frustasi!",2,2023-01-25,78
Aplikasi sangat bagus dan mudah digunakan!,4,2023-08-04,21
Layanan pelanggan sangat responsif dan membantu.,5,2023-05-19,33
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-10-04,35
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-05-06,19
Banyak bug yang mengganggu pengalaman belanja.,1,2023-04-19,22
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-01-21,46
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-10-25,15
Layanan pelanggan sangat responsif dan membantu.,5,2023-07-07,63
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-02-11,48
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-04-19,26
"Aplikasi sering crash, sangat frustasi!",1,2023-10-21,13
Layanan pelanggan sangat responsif dan membantu.,5,2023-02-27,73
Banyak promo menarik setiap hari.,4,2023-11-16,98
Banyak promo menarik setiap hari.,4,2023-07-10,40
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-06-01,11
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-04-11,78
Banyak promo menarik setiap hari.,5,2023-08-13,26
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-04-14,56
"Aplikasi sering crash, sangat frustasi!",2,2023-07-27,63
Banyak bug yang mengganggu pengalaman belanja.,1,2023-06-08,94
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-12-13,84
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-03-16,75
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-05-28,80
Banyak promo menarik setiap hari.,4,2023-07-28,33
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-11-14,85
"UI sangat membingungkan, sulit digunakan.",1,2023-07-16,16
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-05-19,27
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-05-06,66
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-02-23,86
"UI sangat membingungkan, sulit digunakan.",1,2023-09-17,15
"Aplikasi sering crash, sangat frustasi!",1,2023-09-06,56
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-09-01,35
Banyak promo menarik setiap hari.,4,2023-04-03,7
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-12-06,81
"UI sangat membingungkan, sulit digunakan.",1,2023-10-14,53
Layanan pelanggan sangat responsif dan membantu.,4,2023-02-19,93
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-07-17,33
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-08-08,46
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-04-22,36
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-03-11,37
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-10-09,24
Layanan pelanggan sangat responsif dan membantu.,5,2023-03-14,0
"UI sangat membingungkan, sulit digunakan.",2,2023-08-18,76
Banyak promo menarik setiap hari.,4,2023-07-04,92
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-04-03,25
"Aplikasi sering crash, sangat frustasi!",2,2023-07-14,98
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-08-18,97
Banyak bug yang mengganggu pengalaman belanja.,2,2023-03-19,75
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-12-28,13
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-05-07,22
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-05-14,42
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-05-22,50
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-03-21,26
"Aplikasi sering crash, sangat frustasi!",1,2023-01-17,85
Aplikasi sangat bagus dan mudah digunakan!,5,2023-08-17,86
Banyak bug yang mengganggu pengalaman belanja.,1,2023-03-15,41
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-02-17,37
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-09-26,71
"Aplikasi sering crash, sangat frustasi!",2,2023-01-18,67
Banyak bug yang mengganggu pengalaman belanja.,2,2023-07-23,25
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-02-08,36
Layanan pelanggan sangat responsif dan membantu.,5,2023-03-05,73
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-11-07,78
Beberapa fitur kurang jelas cara penggunaannya.,3,2023-04-06,56
Banyak promo menarik setiap hari.,5,2023-02-26,54
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-12-09,99
Banyak bug yang mengganggu pengalaman belanja.,2,2023-08-12,23
"UI sangat membingungkan, sulit digunakan.",1,2023-10-19,53
Banyak bug yang mengganggu pengalaman belanja.,1,2023-11-24,33
Aplikasi sangat bagus dan mudah digunakan!,5,2023-07-27,71
"Pengalaman belanja terbaik, pengiriman cepat.",5,2023-10-23,14
Layanan pelanggan sangat responsif dan membantu.,4,2023-07-26,21
"Aplikasi sering crash, sangat frustasi!",2,2023-11-15,42
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-08-11,88
Banyak bug yang mengganggu pengalaman belanja.,2,2023-02-21,14
"Aplikasi sering crash, sangat frustasi!",1,2023-01-09,55
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-11-20,35
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-03-26,94
Aplikasi sangat bagus dan mudah digunakan!,4,2023-11-08,70
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-01-20,27
Banyak promo menarik setiap hari.,4,2023-08-02,17
Layanan pelanggan sangat responsif dan membantu.,5,2023-05-16,46
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-09-02,57
Aplikasi sangat bagus dan mudah digunakan!,5,2023-04-21,86
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-10-11,50
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-08-14,92
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-11-05,46
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-10-19,13
Aplikasi sangat bagus dan mudah digunakan!,5,2023-08-27,84
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-02-14,52
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-12-08,66
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-08-04,20
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-01-06,7
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-06-11,94
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-02-16,66
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-07-18,74
Layanan pelanggan sangat responsif dan membantu.,5,2023-09-27,68
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-01-10,16
Banyak promo menarik setiap hari.,4,2023-02-20,36
Banyak promo menarik setiap hari.,4,2023-06-07,62
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-06-13,51
"UI sangat membingungkan, sulit digunakan.",1,2023-08-25,99
"Aplikasi sering crash, sangat frustasi!",1,2023-04-22,81
Banyak bug yang mengganggu pengalaman belanja.,2,2023-05-09,70
Aplikasi sangat bagus dan mudah digunakan!,4,2023-08-04,23
Banyak bug yang mengganggu pengalaman belanja.,2,2023-10-10,3
"Aplikasi sering crash, sangat frustasi!",1,2023-11-14,71
Banyak promo menarik setiap hari.,4,2023-09-07,58
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-06-26,16
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-02-16,46
Aplikasi sangat bagus dan mudah digunakan!,4,2023-06-22,58
Banyak bug yang mengganggu pengalaman belanja.,1,2023-09-15,19
